cpu,align_entry,padding,ev_name,ref_cycles,ev_count
skl,16,NOP0,BACLEARS_ANY,32459.0,9276884
skl,16,NOP0,BRANCH_INSTRUCTIONS_RETIRED,32434.0,4108201114
skl,16,NOP0,DSB2MITE_SWITCHES_PENALTY_CYCLES,32040.0,441853041
skl,16,NOP0,IDQ_DSB_UOPS,32298.0,31950566434
skl,16,NOP0,IDQ_MITE_UOPS,32240.0,864858786
skl,16,NOP0,IDQ_MS_UOPS,33637.0,9861186
skl,16,NOP0,IDQ_UOPS_NOT_DELIVERED_CORE,33003.0,14991311289
skl,16,NOP0,INT_MISC_CLEAR_RESTEER_CYCLES,33541.0,1573731731
skl,16,NOP0,INT_MISC_RECOVERY_CYCLES,33790.0,2140084539
skl,16,NOP0,LSD_UOPS,33772.0,0
skl,16,NOP0,MISPREDICTED_BRANCH_RETIRED,34198.0,383108937
skl,16,NOP0,UOPS_DISPATCHED_PORT_0,34349.0,1744125607
skl,16,NOP0,UOPS_DISPATCHED_PORT_1,34304.0,1750319123
skl,16,NOP0,UOPS_DISPATCHED_PORT_2,34741.0,5063225269
skl,16,NOP0,UOPS_DISPATCHED_PORT_3,34698.0,4758876716
skl,16,NOP0,UOPS_DISPATCHED_PORT_4,34649.0,3275285128
skl,16,NOP0,UOPS_DISPATCHED_PORT_5,35049.0,1940622452
skl,16,NOP0,UOPS_DISPATCHED_PORT_6,35574.0,6153640716
skl,16,NOP0,UOPS_DISPATCHED_PORT_7,35837.0,1823508502
skl,16,NOP0,UOPS_ISSUED_ALL,35588.0,29435243256
skl,16,NOP0,UOPS_RETIRED_ANY,35814.0,20334860876
skl,16,NOP0,UOPS_RETIRED_RETIRE_SLOTS,35348.0,17062359455
skl,16,NOP1,BACLEARS_ANY,35391.0,8887053
skl,16,NOP1,BRANCH_INSTRUCTIONS_RETIRED,35730.0,4108201263
skl,16,NOP1,DSB2MITE_SWITCHES_PENALTY_CYCLES,35521.0,541418759
skl,16,NOP1,IDQ_DSB_UOPS,35648.0,31846923727
skl,16,NOP1,IDQ_MITE_UOPS,36142.0,899055330
skl,16,NOP1,IDQ_MS_UOPS,35689.0,9764432
skl,16,NOP1,IDQ_UOPS_NOT_DELIVERED_CORE,36292.0,15638028066
skl,16,NOP1,INT_MISC_CLEAR_RESTEER_CYCLES,35940.0,1513733280
skl,16,NOP1,INT_MISC_RECOVERY_CYCLES,36249.0,2153677305
skl,16,NOP1,LSD_UOPS,35757.0,0
skl,16,NOP1,MISPREDICTED_BRANCH_RETIRED,35899.0,376805769
skl,16,NOP1,UOPS_DISPATCHED_PORT_0,35866.0,1740958604
skl,16,NOP1,UOPS_DISPATCHED_PORT_1,36153.0,1731851074
skl,16,NOP1,UOPS_DISPATCHED_PORT_2,36147.0,4969309947
skl,16,NOP1,UOPS_DISPATCHED_PORT_3,35829.0,4752528233
skl,16,NOP1,UOPS_DISPATCHED_PORT_4,36056.0,3247653841
skl,16,NOP1,UOPS_DISPATCHED_PORT_5,35997.0,1908223552
skl,16,NOP1,UOPS_DISPATCHED_PORT_6,36239.0,6044314062
skl,16,NOP1,UOPS_DISPATCHED_PORT_7,36245.0,1854648157
skl,16,NOP1,UOPS_ISSUED_ALL,36080.0,29005580563
skl,16,NOP1,UOPS_RETIRED_ANY,36103.0,20335101175
skl,16,NOP1,UOPS_RETIRED_RETIRE_SLOTS,36249.0,17062715631
skl,16,NOP16,BACLEARS_ANY,44276.0,7878
skl,16,NOP16,BRANCH_INSTRUCTIONS_RETIRED,44182.0,4108201410
skl,16,NOP16,DSB2MITE_SWITCHES_PENALTY_CYCLES,43959.0,1534096
skl,16,NOP16,IDQ_DSB_UOPS,44085.0,39368896987
skl,16,NOP16,IDQ_MITE_UOPS,44059.0,6588929
skl,16,NOP16,IDQ_MS_UOPS,44150.0,9749373
skl,16,NOP16,IDQ_UOPS_NOT_DELIVERED_CORE,44388.0,16868129084
skl,16,NOP16,INT_MISC_CLEAR_RESTEER_CYCLES,44274.0,1864055770
skl,16,NOP16,INT_MISC_RECOVERY_CYCLES,44175.0,3069160890
skl,16,NOP16,LSD_UOPS,44332.0,0
skl,16,NOP16,MISPREDICTED_BRANCH_RETIRED,44461.0,551316317
skl,16,NOP16,UOPS_DISPATCHED_PORT_0,44502.0,1867150969
skl,16,NOP16,UOPS_DISPATCHED_PORT_1,44496.0,1953791979
skl,16,NOP16,UOPS_DISPATCHED_PORT_2,44505.0,5827773987
skl,16,NOP16,UOPS_DISPATCHED_PORT_3,44625.0,5686479609
skl,16,NOP16,UOPS_DISPATCHED_PORT_4,44514.0,3581982248
skl,16,NOP16,UOPS_DISPATCHED_PORT_5,44803.0,2164390288
