align_entry,padding,ev_name,ref_cycles,ev_count
16,NOP0,INT_MISC_CLEAR_RESTEER_CYCLES,27723.0,614174448
16,NOP0,INT_MISC_RECOVERY_CYCLES,31241.0,681028000
16,NOP0,INT_MISC_UOP_DROPPING,31441.0,137485520
16,NOP0,UOPS_RETIRED_SLOTS,31138.0,15449394261
16,NOP0,UOPS_ISSUED_ANY,30913.0,24738553450
16,NOP0,UOPS_EXECUTED_CORE,29630.0,22384024335
16,NOP0,IDQ_UOPS_NOT_DELIVERED_CORE,29854.0,20488313401
16,NOP0,IDQ_MS_UOPS,28400.0,9129498
16,NOP0,IDQ_MITE_UOPS,28576.0,4871539
16,NOP0,IDQ_DSB_UOPS,28420.0,22695608267
16,NOP0,DSB2MITE_SWITCHES_PENALTY_CYCLES,28298.0,501133
16,NOP0,LSD_UOPS,28351.0,0
16,NOP0,BR_INST_RETIRED_COND,31679.0,3163200000
16,NOP0,BRANCH_INSTRUCTIONS_RETIRED,31566.0,4801600867
16,NOP0,BR_INST_RETIRED_COND_TAKEN,31593.0,2425999999
16,NOP0,BR_INST_RETIRED_COND_NTAKEN,31768.0,737200001
16,NOP0,MISPREDICTED_BRANCH_RETIRED,31307.0,135382822
16,NOP0,BR_MISP_RETIRED_COND_TAKEN,32410.0,63848247
16,NOP0,BR_MISP_RETIRED_COND_NTAKEN,31833.0,71692851
16,NOP0,BACLEARS_ANY,32249.0,736
16,NOP0,UOPS_DISPATCHED_PORT_0,32360.0,3030078159
16,NOP0,UOPS_DISPATCHED_PORT_1,31513.0,2050699930
16,NOP0,UOPS_DISPATCHED_PORT_2_3,31753.0,7425105677
16,NOP0,UOPS_DISPATCHED_PORT_4_9,30878.0,3078101546
16,NOP0,UOPS_DISPATCHED_PORT_5,31406.0,2526105528
16,NOP0,UOPS_DISPATCHED_PORT_6,32005.0,4928469333
16,NOP0,UOPS_DISPATCHED_PORT_7_8,31545.0,3605335736
16,NOP1,INT_MISC_CLEAR_RESTEER_CYCLES,34793.0,820924370
16,NOP1,INT_MISC_RECOVERY_CYCLES,34942.0,950504011
16,NOP1,INT_MISC_UOP_DROPPING,33102.0,160058474
16,NOP1,UOPS_RETIRED_SLOTS,34744.0,15449413508
16,NOP1,UOPS_ISSUED_ANY,34772.0,26789446345
16,NOP1,UOPS_EXECUTED_CORE,35088.0,23816727027
16,NOP1,IDQ_UOPS_NOT_DELIVERED_CORE,35787.0,24172293645
16,NOP1,IDQ_MS_UOPS,35070.0,9199949
16,NOP1,IDQ_MITE_UOPS,36172.0,6107638
16,NOP1,IDQ_DSB_UOPS,35154.0,27651502307
