align_entry,padding,ev_name,ref_cycles,ev_count
64,NOP0,INT_MISC_CLEAR_RESTEER_CYCLES,19345.0,132362165
64,NOP0,INT_MISC_RECOVERY_CYCLES,17767.0,227665410
64,NOP0,INT_MISC_UOP_DROPPING,17971.0,48850577
64,NOP0,UOPS_RETIRED_SLOTS,19422.0,14630498665
64,NOP0,UOPS_ISSUED_ANY,16687.0,16221528827
64,NOP0,UOPS_EXECUTED_CORE,22917.0,17352130540
64,NOP0,IDQ_UOPS_NOT_DELIVERED_CORE,18546.0,7742091679
64,NOP0,IDQ_MS_UOPS,17667.0,9081122
64,NOP0,IDQ_MITE_UOPS,17269.0,4701539
64,NOP0,IDQ_DSB_UOPS,19570.0,16581323622
64,NOP0,DSB2MITE_SWITCHES_PENALTY_CYCLES,18094.0,383440
64,NOP0,LSD_UOPS,18013.0,0
64,NOP0,BR_INST_RETIRED_COND,20608.0,2344000000
64,NOP0,BRANCH_INSTRUCTIONS_RETIRED,18579.0,3982400632
64,NOP0,BR_INST_RETIRED_COND_TAKEN,17206.0,1606799999
64,NOP0,BR_INST_RETIRED_COND_NTAKEN,23084.0,737200001
64,NOP0,MISPREDICTED_BRANCH_RETIRED,19196.0,35453793
64,NOP0,BR_MISP_RETIRED_COND_TAKEN,18678.0,19643031
64,NOP0,BR_MISP_RETIRED_COND_NTAKEN,17778.0,19214974
64,NOP0,BACLEARS_ANY,21102.0,600
64,NOP0,UOPS_DISPATCHED_PORT_0,17999.0,2181664363
64,NOP0,UOPS_DISPATCHED_PORT_1,18071.0,1195583346
64,NOP0,UOPS_DISPATCHED_PORT_2_3,23914.0,5737606560
64,NOP0,UOPS_DISPATCHED_PORT_4_9,19181.0,2612510990
64,NOP0,UOPS_DISPATCHED_PORT_5,18606.0,1578651539
64,NOP0,UOPS_DISPATCHED_PORT_6,16983.0,2895118812
64,NOP0,UOPS_DISPATCHED_PORT_7_8,20617.0,2708095959
64,NOP1,INT_MISC_CLEAR_RESTEER_CYCLES,17707.0,151590043
64,NOP1,INT_MISC_RECOVERY_CYCLES,17538.0,171165151
64,NOP1,INT_MISC_UOP_DROPPING,21492.0,26793981
64,NOP1,UOPS_RETIRED_SLOTS,17612.0,14630564763
64,NOP1,UOPS_ISSUED_ANY,17921.0,16663819733
64,NOP1,UOPS_EXECUTED_CORE,21870.0,17668097359
64,NOP1,IDQ_UOPS_NOT_DELIVERED_CORE,17307.0,10773498048
