impl name               ,test name       ,size    ,al dst ,al src ,dst > src,trials ,inner trials,mean      ,median    ,geomean   ,min       ,max       ,stdev
memcpy_dev_v32_movsb    ,rand SPEC2017   ,1       ,16     ,256    ,32768    ,20000  ,32768       ,3.643E+05 ,3.631E+05 ,3.642E+05 ,3.58E+05  ,5.223E+05 ,9.069E+03
memcpy_dev_v32_movsb    ,rand SPEC2017   ,1       ,32     ,256    ,16384    ,40000  ,16384       ,1.047E+05 ,1.045E+05 ,1.047E+05 ,9.99E+04  ,2.313E+05 ,2.364E+03
memcpy_dev_v32_movsb    ,rand SPEC2017   ,1       ,33     ,256    ,8192     ,80000  ,8192        ,6.216E+04 ,6.207E+04 ,6.212E+04 ,5.74E+04  ,1.118E+06 ,5.226E+03
memcpy_dev_v32_movsb    ,rand SPEC2017   ,1       ,16     ,257    ,32768    ,20000  ,32768       ,3.546E+05 ,3.663E+05 ,3.537E+05 ,3.15E+05  ,1.428E+06 ,2.565E+04
memcpy_dev_v32_movsb    ,rand SPEC2017   ,1       ,32     ,257    ,16384    ,40000  ,16384       ,1.277E+05 ,1.378E+05 ,1.265E+05 ,1.03E+05  ,1.196E+06 ,1.848E+04
memcpy_dev_v32_movsb    ,rand SPEC2017   ,1       ,33     ,257    ,8192     ,80000  ,8192        ,6.113E+04 ,5.952E+04 ,6.102E+04 ,5.65E+04  ,1.148E+06 ,6.179E+03
memcpy_dev_v32_movsb    ,rand SPEC2017   ,1       ,0      ,31     ,16384    ,40000  ,16384       ,1.816E+05 ,1.803E+05 ,1.815E+05 ,1.75E+05  ,1.299E+06 ,9.884E+03
memcpy_dev_v32_movsb    ,rand SPEC2017   ,1       ,0      ,32     ,32768    ,20000  ,32768       ,4.569E+05 ,4.557E+05 ,4.567E+05 ,4.41E+05  ,1.500E+06 ,1.265E+04
memcpy_dev_v32_movsb    ,rand SPEC2017   ,1       ,0      ,64     ,32768    ,20000  ,32768       ,4.643E+05 ,4.657E+05 ,4.642E+05 ,4.52E+05  ,5.795E+05 ,5.607E+03
memcpy_dev_v32_movsb    ,rand SPEC2017   ,1       ,0      ,65     ,32768    ,20000  ,32768       ,4.585E+05 ,4.555E+05 ,4.583E+05 ,4.39E+05  ,1.521E+06 ,1.693E+04
memcpy_dev_v32_movsb    ,rand SPEC2017   ,1       ,0      ,128    ,32768    ,20000  ,32768       ,4.750E+05 ,4.741E+05 ,4.749E+05 ,4.61E+05  ,1.597E+06 ,1.433E+04
memcpy_dev_v32_movsb    ,rand SPEC2017   ,1       ,0      ,256    ,32768    ,20000  ,32768       ,5.329E+05 ,5.345E+05 ,5.327E+05 ,5.16E+05  ,1.756E+06 ,1.490E+04
memcpy_dev_v32_movsb    ,rand SPEC2017   ,1       ,32     ,-1     ,32768    ,20000  ,32768       ,5.616E+05 ,5.688E+05 ,5.611E+05 ,5.09E+05  ,1.624E+06 ,2.330E+04
memcpy_dev_v32_movsb    ,rand SPEC2017   ,1       ,33     ,-1     ,8192     ,80000  ,8192        ,1.575E+05 ,1.568E+05 ,1.574E+05 ,1.46E+05  ,1.267E+06 ,7.370E+03
memcpy_dev_v32_movsb    ,rand SPEC2017   ,1       ,64     ,-1     ,8192     ,80000  ,8192        ,1.594E+05 ,1.589E+05 ,1.593E+05 ,1.49E+05  ,1.400E+06 ,9.027E+03
memcpy_dev_v32_movsb    ,rand SPEC2017   ,1       ,65     ,-1     ,8192     ,80000  ,8192        ,1.607E+05 ,1.604E+05 ,1.606E+05 ,1.50E+05  ,1.267E+06 ,7.692E+03
memcpy_dev_v32_movsb    ,rand SPEC2017   ,1       ,129    ,-1     ,8192     ,80000  ,8192        ,1.739E+05 ,1.738E+05 ,1.737E+05 ,1.61E+05  ,1.257E+06 ,8.813E+03
memcpy_dev_v32_movsb    ,rand SPEC2017   ,1       ,257    ,-1     ,4096     ,160000 ,4096        ,9.187E+04 ,9.220E+04 ,9.182E+04 ,8.51E+04  ,1.139E+06 ,4.556E+03
memcpy_dev_v32_movsb    ,rand SPEC2017   ,1       ,0      ,-1     ,65536    ,10000  ,65536       ,1.419E+06 ,1.414E+06 ,1.418E+06 ,1.37E+06  ,2.519E+06 ,3.473E+04
memcpy_dev_v32_movsb    ,rand SPEC2017   ,2       ,0      ,-1     ,65536    ,10000  ,65536       ,1.270E+06 ,1.274E+06 ,1.269E+06 ,1.21E+06  ,2.469E+06 ,3.658E+04
memcpy_dev_v32_movsb    ,rand SPEC2017   ,4       ,0      ,-1     ,65536    ,10000  ,65536       ,1.580E+06 ,1.578E+06 ,1.580E+06 ,1.51E+06  ,2.833E+06 ,4.301E+04
memcpy_dev_v32_movsb    ,rand SPEC2017   ,8       ,0      ,-1     ,65536    ,10000  ,65536       ,2.020E+06 ,2.009E+06 ,2.020E+06 ,1.97E+06  ,3.084E+06 ,4.116E+04
memcpy_dev_v32_movsb    ,rand SPEC2017   ,16      ,0      ,-1     ,65536    ,10000  ,65536       ,3.527E+06 ,3.519E+06 ,3.526E+06 ,3.43E+06  ,5.307E+06 ,7.162E+04
memcpy_dev_v32_movsb    ,rand SPEC2017   ,32      ,0      ,-1     ,65536    ,10000  ,65536       ,6.517E+06 ,6.521E+06 ,6.516E+06 ,6.36E+06  ,8.766E+06 ,1.094E+05
memcpy_dev_v32_movsb    ,rand SPEC2017   ,64      ,0      ,-1     ,65536    ,10000  ,65536       ,1.358E+07 ,1.359E+07 ,1.358E+07 ,1.33E+07  ,1.754E+07 ,1.439E+05
memcpy_dev_v32_movsb    ,rand SPEC2017   ,128     ,0      ,-1     ,65536    ,10000  ,65536       ,2.787E+07 ,2.781E+07 ,2.786E+07 ,2.72E+07  ,3.992E+07 ,4.246E+05
memcpy_dev_v32_movsb    ,rand SPEC2017   ,256     ,0      ,-1     ,65536    ,10000  ,65536       ,5.706E+07 ,5.701E+07 ,5.706E+07 ,5.62E+07  ,6.900E+07 ,4.283E+05
memcpy_glibc_v32_movsb  ,rand SPEC2017   ,1       ,16     ,256    ,32768    ,20000  ,32768       ,4.101E+05 ,4.135E+05 ,4.097E+05 ,3.50E+05  ,1.465E+06 ,2.194E+04
memcpy_glibc_v32_movsb  ,rand SPEC2017   ,1       ,32     ,256    ,16384    ,40000  ,16384       ,1.572E+05 ,1.569E+05 ,1.571E+05 ,1.48E+05  ,1.381E+06 ,1.038E+04
memcpy_glibc_v32_movsb  ,rand SPEC2017   ,1       ,33     ,256    ,8192     ,80000  ,8192        ,6.876E+04 ,6.974E+04 ,6.863E+04 ,5.83E+04  ,1.111E+06 ,7.720E+03
memcpy_glibc_v32_movsb  ,rand SPEC2017   ,1       ,16     ,257    ,32768    ,20000  ,32768       ,4.140E+05 ,4.139E+05 ,4.138E+05 ,3.98E+05  ,1.505E+06 ,1.748E+04
memcpy_glibc_v32_movsb  ,rand SPEC2017   ,1       ,32     ,257    ,16384    ,40000  ,16384       ,1.511E+05 ,1.561E+05 ,1.503E+05 ,1.11E+05  ,1.184E+06 ,1.707E+04
memcpy_glibc_v32_movsb  ,rand SPEC2017   ,1       ,33     ,257    ,8192     ,80000  ,8192        ,6.921E+04 ,6.982E+04 ,6.910E+04 ,6.15E+04  ,1.253E+06 ,8.368E+03
memcpy_glibc_v32_movsb  ,rand SPEC2017   ,1       ,0      ,31     ,16384    ,40000  ,16384       ,2.304E+05 ,2.299E+05 ,2.302E+05 ,2.12E+05  ,1.579E+06 ,1.578E+04
memcpy_glibc_v32_movsb  ,rand SPEC2017   ,1       ,0      ,32     ,32768    ,20000  ,32768       ,4.883E+05 ,4.862E+05 ,4.881E+05 ,4.68E+05  ,1.567E+06 ,2.059E+04
memcpy_glibc_v32_movsb  ,rand SPEC2017   ,1       ,0      ,64     ,32768    ,20000  ,32768       ,4.875E+05 ,4.860E+05 ,4.873E+05 ,4.69E+05  ,1.547E+06 ,1.971E+04
memcpy_glibc_v32_movsb  ,rand SPEC2017   ,1       ,0      ,65     ,32768    ,20000  ,32768       ,4.868E+05 ,4.850E+05 ,4.865E+05 ,4.56E+05  ,1.540E+06 ,1.968E+04
memcpy_glibc_v32_movsb  ,rand SPEC2017   ,1       ,0      ,128    ,32768    ,20000  ,32768       ,4.968E+05 ,4.937E+05 ,4.964E+05 ,4.69E+05  ,1.554E+06 ,2.461E+04
memcpy_glibc_v32_movsb  ,rand SPEC2017   ,1       ,0      ,256    ,32768    ,20000  ,32768       ,5.574E+05 ,5.538E+05 ,5.571E+05 ,5.27E+05  ,1.598E+06 ,2.308E+04
memcpy_glibc_v32_movsb  ,rand SPEC2017   ,1       ,32     ,-1     ,32768    ,20000  ,32768       ,6.167E+05 ,6.175E+05 ,6.165E+05 ,5.86E+05  ,1.806E+06 ,2.288E+04
memcpy_glibc_v32_movsb  ,rand SPEC2017   ,1       ,33     ,-1     ,8192     ,80000  ,8192        ,1.707E+05 ,1.699E+05 ,1.706E+05 ,1.58E+05  ,1.352E+06 ,1.156E+04
memcpy_glibc_v32_movsb  ,rand SPEC2017   ,1       ,64     ,-1     ,8192     ,80000  ,8192        ,1.730E+05 ,1.728E+05 ,1.729E+05 ,1.60E+05  ,1.255E+06 ,1.168E+04
memcpy_glibc_v32_movsb  ,rand SPEC2017   ,1       ,65     ,-1     ,8192     ,80000  ,8192        ,1.760E+05 ,1.750E+05 ,1.758E+05 ,1.68E+05  ,1.248E+06 ,1.368E+04
memcpy_glibc_v32_movsb  ,rand SPEC2017   ,1       ,129    ,-1     ,8192     ,80000  ,8192        ,1.885E+05 ,1.867E+05 ,1.884E+05 ,1.76E+05  ,1.389E+06 ,1.295E+04
memcpy_glibc_v32_movsb  ,rand SPEC2017   ,1       ,257    ,-1     ,4096     ,160000 ,4096        ,9.766E+04 ,9.679E+04 ,9.756E+04 ,9.01E+04  ,1.176E+06 ,8.988E+03
memcpy_glibc_v32_movsb  ,rand SPEC2017   ,1       ,0      ,-1     ,65536    ,10000  ,65536       ,1.464E+06 ,1.458E+06 ,1.463E+06 ,1.42E+06  ,2.620E+06 ,3.744E+04
memcpy_glibc_v32_movsb  ,rand SPEC2017   ,2       ,0      ,-1     ,65536    ,10000  ,65536       ,1.334E+06 ,1.336E+06 ,1.334E+06 ,1.29E+06  ,2.471E+06 ,3.086E+04
memcpy_glibc_v32_movsb  ,rand SPEC2017   ,4       ,0      ,-1     ,65536    ,10000  ,65536       ,1.685E+06 ,1.687E+06 ,1.685E+06 ,1.64E+06  ,2.828E+06 ,3.807E+04
memcpy_glibc_v32_movsb  ,rand SPEC2017   ,8       ,0      ,-1     ,65536    ,10000  ,65536       ,2.096E+06 ,2.098E+06 ,2.096E+06 ,2.01E+06  ,3.432E+06 ,4.480E+04
memcpy_glibc_v32_movsb  ,rand SPEC2017   ,16      ,0      ,-1     ,65536    ,10000  ,65536       ,3.676E+06 ,3.674E+06 ,3.676E+06 ,3.60E+06  ,4.810E+06 ,5.733E+04
memcpy_glibc_v32_movsb  ,rand SPEC2017   ,32      ,0      ,-1     ,65536    ,10000  ,65536       ,6.783E+06 ,6.778E+06 ,6.782E+06 ,6.55E+06  ,9.784E+06 ,1.052E+05
memcpy_glibc_v32_movsb  ,rand SPEC2017   ,64      ,0      ,-1     ,65536    ,10000  ,65536       ,1.393E+07 ,1.391E+07 ,1.392E+07 ,1.36E+07  ,1.854E+07 ,1.404E+05
memcpy_glibc_v32_movsb  ,rand SPEC2017   ,128     ,0      ,-1     ,65536    ,10000  ,65536       ,2.813E+07 ,2.807E+07 ,2.813E+07 ,2.74E+07  ,3.859E+07 ,4.324E+05
memcpy_glibc_v32_movsb  ,rand SPEC2017   ,256     ,0      ,-1     ,65536    ,10000  ,65536       ,5.747E+07 ,5.741E+07 ,5.746E+07 ,5.64E+07  ,7.164E+07 ,4.929E+05
memcpy_dev_v32_movsb    ,rand SPEC2017   ,1       ,16     ,256    ,32768    ,20000  ,32768       ,3.998E+05 ,3.979E+05 ,3.996E+05 ,3.67E+05  ,1.513E+06 ,1.942E+04
memcpy_dev_v32_movsb    ,rand SPEC2017   ,1       ,32     ,256    ,16384    ,40000  ,16384       ,1.401E+05 ,1.490E+05 ,1.389E+05 ,1.09E+05  ,1.175E+06 ,1.928E+04
memcpy_dev_v32_movsb    ,rand SPEC2017   ,1       ,33     ,256    ,8192     ,80000  ,8192        ,6.787E+04 ,6.794E+04 ,6.782E+04 ,6.21E+04  ,1.157E+06 ,6.951E+03
memcpy_dev_v32_movsb    ,rand SPEC2017   ,1       ,16     ,257    ,32768    ,20000  ,32768       ,3.918E+05 ,3.960E+05 ,3.913E+05 ,3.39E+05  ,1.465E+06 ,2.446E+04
memcpy_dev_v32_movsb    ,rand SPEC2017   ,1       ,32     ,257    ,16384    ,40000  ,16384       ,1.477E+05 ,1.491E+05 ,1.474E+05 ,1.10E+05  ,1.199E+06 ,1.266E+04
memcpy_dev_v32_movsb    ,rand SPEC2017   ,1       ,33     ,257    ,8192     ,80000  ,8192        ,6.570E+04 ,6.733E+04 ,6.559E+04 ,5.94E+04  ,1.264E+06 ,7.918E+03
memcpy_dev_v32_movsb    ,rand SPEC2017   ,1       ,0      ,31     ,16384    ,40000  ,16384       ,1.914E+05 ,1.914E+05 ,1.912E+05 ,1.84E+05  ,1.240E+06 ,1.085E+04
memcpy_dev_v32_movsb    ,rand SPEC2017   ,1       ,0      ,32     ,32768    ,20000  ,32768       ,4.770E+05 ,4.757E+05 ,4.767E+05 ,4.54E+05  ,1.702E+06 ,2.259E+04
memcpy_dev_v32_movsb    ,rand SPEC2017   ,1       ,0      ,64     ,32768    ,20000  ,32768       ,4.833E+05 ,4.823E+05 ,4.831E+05 ,4.64E+05  ,1.541E+06 ,2.001E+04
memcpy_dev_v32_movsb    ,rand SPEC2017   ,1       ,0      ,65     ,32768    ,20000  ,32768       ,4.783E+05 ,4.772E+05 ,4.780E+05 ,4.62E+05  ,1.704E+06 ,2.020E+04
memcpy_dev_v32_movsb    ,rand SPEC2017   ,1       ,0      ,128    ,32768    ,20000  ,32768       ,4.896E+05 ,4.888E+05 ,4.893E+05 ,4.70E+05  ,1.612E+06 ,2.249E+04
memcpy_dev_v32_movsb    ,rand SPEC2017   ,1       ,0      ,256    ,32768    ,20000  ,32768       ,5.423E+05 ,5.394E+05 ,5.421E+05 ,5.22E+05  ,1.642E+06 ,2.125E+04
memcpy_dev_v32_movsb    ,rand SPEC2017   ,1       ,32     ,-1     ,32768    ,20000  ,32768       ,5.854E+05 ,5.844E+05 ,5.852E+05 ,5.44E+05  ,1.617E+06 ,2.063E+04
memcpy_dev_v32_movsb    ,rand SPEC2017   ,1       ,33     ,-1     ,8192     ,80000  ,8192        ,1.597E+05 ,1.587E+05 ,1.596E+05 ,1.53E+05  ,1.227E+06 ,1.020E+04
memcpy_dev_v32_movsb    ,rand SPEC2017   ,1       ,64     ,-1     ,8192     ,80000  ,8192        ,1.597E+05 ,1.585E+05 ,1.596E+05 ,1.52E+05  ,1.247E+06 ,1.024E+04
memcpy_dev_v32_movsb    ,rand SPEC2017   ,1       ,65     ,-1     ,8192     ,80000  ,8192        ,1.634E+05 ,1.624E+05 ,1.633E+05 ,1.58E+05  ,1.214E+06 ,1.103E+04
memcpy_dev_v32_movsb    ,rand SPEC2017   ,1       ,129    ,-1     ,8192     ,80000  ,8192        ,1.757E+05 ,1.750E+05 ,1.756E+05 ,1.69E+05  ,1.238E+06 ,1.080E+04
memcpy_dev_v32_movsb    ,rand SPEC2017   ,1       ,257    ,-1     ,4096     ,160000 ,4096        ,9.287E+04 ,9.248E+04 ,9.282E+04 ,8.98E+04  ,1.160E+06 ,7.434E+03
memcpy_dev_v32_movsb    ,rand SPEC2017   ,1       ,0      ,-1     ,65536    ,10000  ,65536       ,1.417E+06 ,1.414E+06 ,1.417E+06 ,1.36E+06  ,2.637E+06 ,3.704E+04
memcpy_dev_v32_movsb    ,rand SPEC2017   ,2       ,0      ,-1     ,65536    ,10000  ,65536       ,1.273E+06 ,1.277E+06 ,1.273E+06 ,1.22E+06  ,2.272E+06 ,2.988E+04
memcpy_dev_v32_movsb    ,rand SPEC2017   ,4       ,0      ,-1     ,65536    ,10000  ,65536       ,1.604E+06 ,1.609E+06 ,1.604E+06 ,1.55E+06  ,2.745E+06 ,4.453E+04
memcpy_dev_v32_movsb    ,rand SPEC2017   ,8       ,0      ,-1     ,65536    ,10000  ,65536       ,2.047E+06 ,2.051E+06 ,2.047E+06 ,1.96E+06  ,3.187E+06 ,5.011E+04
