impl name               ,test name       ,size    ,al dst ,al src ,dst > src,trials ,inner trials,mean      ,median    ,geomean   ,min       ,max       ,stdev
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,16     ,256    ,32768    ,20000  ,32768       ,3.385E+05 ,3.502E+05 ,3.377E+05 ,3.04E+05  ,1.439E+06 ,2.370E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,32     ,256    ,16384    ,40000  ,16384       ,1.272E+05 ,1.373E+05 ,1.260E+05 ,1.03E+05  ,1.195E+06 ,1.800E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,33     ,256    ,8192     ,80000  ,8192        ,5.968E+04 ,6.166E+04 ,5.958E+04 ,5.60E+04  ,1.100E+06 ,5.781E+03
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,16     ,257    ,32768    ,20000  ,32768       ,3.297E+05 ,3.129E+05 ,3.289E+05 ,3.03E+05  ,1.427E+06 ,2.514E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,32     ,257    ,16384    ,40000  ,16384       ,1.182E+05 ,1.080E+05 ,1.171E+05 ,1.03E+05  ,1.170E+06 ,1.705E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,33     ,257    ,8192     ,80000  ,8192        ,5.928E+04 ,5.831E+04 ,5.922E+04 ,5.63E+04  ,1.109E+06 ,5.443E+03
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,0      ,31     ,16384    ,40000  ,16384       ,1.829E+05 ,1.829E+05 ,1.828E+05 ,1.76E+05  ,1.228E+06 ,7.738E+03
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,0      ,32     ,32768    ,20000  ,32768       ,4.628E+05 ,4.620E+05 ,4.626E+05 ,4.45E+05  ,1.524E+06 ,1.246E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,0      ,64     ,32768    ,20000  ,32768       ,4.580E+05 ,4.584E+05 ,4.579E+05 ,4.43E+05  ,1.535E+06 ,1.232E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,0      ,65     ,32768    ,20000  ,32768       ,4.568E+05 ,4.561E+05 ,4.567E+05 ,4.44E+05  ,1.538E+06 ,1.221E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,0      ,128    ,32768    ,20000  ,32768       ,4.758E+05 ,4.744E+05 ,4.757E+05 ,4.66E+05  ,7.588E+05 ,1.069E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,0      ,256    ,32768    ,20000  ,32768       ,5.122E+05 ,5.090E+05 ,5.121E+05 ,4.95E+05  ,1.603E+06 ,1.442E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,32     ,-1     ,32768    ,20000  ,32768       ,5.641E+05 ,5.630E+05 ,5.639E+05 ,5.23E+05  ,1.615E+06 ,1.451E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,33     ,-1     ,8192     ,80000  ,8192        ,1.621E+05 ,1.619E+05 ,1.620E+05 ,1.54E+05  ,1.230E+06 ,6.176E+03
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,64     ,-1     ,8192     ,80000  ,8192        ,1.641E+05 ,1.636E+05 ,1.641E+05 ,1.56E+05  ,1.233E+06 ,6.785E+03
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,65     ,-1     ,8192     ,80000  ,8192        ,1.685E+05 ,1.683E+05 ,1.685E+05 ,1.62E+05  ,1.269E+06 ,6.191E+03
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,129    ,-1     ,8192     ,80000  ,8192        ,1.724E+05 ,1.711E+05 ,1.722E+05 ,1.66E+05  ,1.248E+06 ,9.178E+03
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,257    ,-1     ,4096     ,160000 ,4096        ,8.938E+04 ,8.886E+04 ,8.931E+04 ,8.64E+04  ,1.234E+06 ,8.108E+03
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,0      ,-1     ,65536    ,10000  ,65536       ,1.358E+06 ,1.355E+06 ,1.357E+06 ,1.35E+06  ,2.497E+06 ,3.295E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,2       ,0      ,-1     ,65536    ,10000  ,65536       ,1.218E+06 ,1.221E+06 ,1.217E+06 ,1.19E+06  ,2.364E+06 ,3.896E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,4       ,0      ,-1     ,65536    ,10000  ,65536       ,1.519E+06 ,1.512E+06 ,1.518E+06 ,1.49E+06  ,2.651E+06 ,5.843E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,8       ,0      ,-1     ,65536    ,10000  ,65536       ,1.971E+06 ,1.966E+06 ,1.970E+06 ,1.91E+06  ,3.064E+06 ,4.097E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,16      ,0      ,-1     ,65536    ,10000  ,65536       ,3.448E+06 ,3.442E+06 ,3.448E+06 ,3.40E+06  ,4.687E+06 ,5.272E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,32      ,0      ,-1     ,65536    ,10000  ,65536       ,6.419E+06 ,6.407E+06 ,6.418E+06 ,6.29E+06  ,1.252E+07 ,1.335E+05
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,64      ,0      ,-1     ,65536    ,10000  ,65536       ,1.343E+07 ,1.341E+07 ,1.342E+07 ,1.32E+07  ,1.717E+07 ,1.790E+05
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,128     ,0      ,-1     ,65536    ,10000  ,65536       ,2.764E+07 ,2.763E+07 ,2.764E+07 ,2.72E+07  ,3.983E+07 ,3.670E+05
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,256     ,0      ,-1     ,65536    ,10000  ,65536       ,5.706E+07 ,5.698E+07 ,5.706E+07 ,5.62E+07  ,6.779E+07 ,5.370E+05
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,1       ,16     ,256    ,32768    ,20000  ,32768       ,3.902E+05 ,3.907E+05 ,3.900E+05 ,3.77E+05  ,1.350E+06 ,1.720E+04
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,1       ,32     ,256    ,16384    ,40000  ,16384       ,1.486E+05 ,1.488E+05 ,1.485E+05 ,1.44E+05  ,1.077E+06 ,9.518E+03
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,1       ,33     ,256    ,8192     ,80000  ,8192        ,6.620E+04 ,6.662E+04 ,6.611E+04 ,5.97E+04  ,1.123E+06 ,7.482E+03
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,1       ,16     ,257    ,32768    ,20000  ,32768       ,3.806E+05 ,3.853E+05 ,3.800E+05 ,3.29E+05  ,1.458E+06 ,2.387E+04
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,1       ,32     ,257    ,16384    ,40000  ,16384       ,1.473E+05 ,1.471E+05 ,1.472E+05 ,1.43E+05  ,1.214E+06 ,9.905E+03
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,1       ,33     ,257    ,8192     ,80000  ,8192        ,6.511E+04 ,6.629E+04 ,6.500E+04 ,5.93E+04  ,1.137E+06 ,7.678E+03
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,1       ,0      ,31     ,16384    ,40000  ,16384       ,2.118E+05 ,2.107E+05 ,2.117E+05 ,1.99E+05  ,1.284E+06 ,1.361E+04
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,1       ,0      ,32     ,32768    ,20000  ,32768       ,4.768E+05 ,4.774E+05 ,4.766E+05 ,4.56E+05  ,1.685E+06 ,2.057E+04
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,1       ,0      ,64     ,32768    ,20000  ,32768       ,4.782E+05 ,4.791E+05 ,4.780E+05 ,4.59E+05  ,1.557E+06 ,2.044E+04
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,1       ,0      ,65     ,32768    ,20000  ,32768       ,4.810E+05 ,4.802E+05 ,4.808E+05 ,4.56E+05  ,1.553E+06 ,1.998E+04
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,1       ,0      ,128    ,32768    ,20000  ,32768       ,4.901E+05 ,4.912E+05 ,4.898E+05 ,4.67E+05  ,1.603E+06 ,2.141E+04
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,1       ,0      ,256    ,32768    ,20000  ,32768       ,5.388E+05 ,5.388E+05 ,5.385E+05 ,5.20E+05  ,1.610E+06 ,2.259E+04
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,1       ,32     ,-1     ,32768    ,20000  ,32768       ,5.761E+05 ,5.721E+05 ,5.758E+05 ,5.66E+05  ,1.672E+06 ,2.099E+04
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,1       ,33     ,-1     ,8192     ,80000  ,8192        ,1.589E+05 ,1.590E+05 ,1.588E+05 ,1.50E+05  ,1.229E+06 ,1.038E+04
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,1       ,64     ,-1     ,8192     ,80000  ,8192        ,1.603E+05 ,1.599E+05 ,1.602E+05 ,1.51E+05  ,1.232E+06 ,1.028E+04
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,1       ,65     ,-1     ,8192     ,80000  ,8192        ,1.634E+05 ,1.634E+05 ,1.633E+05 ,1.56E+05  ,1.256E+06 ,1.142E+04
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,1       ,129    ,-1     ,8192     ,80000  ,8192        ,1.732E+05 ,1.736E+05 ,1.731E+05 ,1.66E+05  ,1.260E+06 ,1.099E+04
