impl name               ,test name       ,size    ,al dst ,al src ,dst > src,trials ,inner trials,mean      ,median    ,geomean   ,min       ,max       ,stdev
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,16     ,256    ,32768    ,20000  ,32768       ,3.061E+05 ,3.059E+05 ,3.061E+05 ,2.99E+05  ,4.461E+05 ,6.128E+03
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,32     ,256    ,16384    ,40000  ,16384       ,1.140E+05 ,1.135E+05 ,1.139E+05 ,1.10E+05  ,2.285E+05 ,4.346E+03
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,33     ,256    ,8192     ,80000  ,8192        ,5.990E+04 ,5.939E+04 ,5.987E+04 ,5.81E+04  ,1.627E+05 ,2.044E+03
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,16     ,257    ,32768    ,20000  ,32768       ,3.630E+05 ,3.625E+05 ,3.630E+05 ,3.52E+05  ,4.666E+05 ,4.289E+03
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,32     ,257    ,16384    ,40000  ,16384       ,1.205E+05 ,1.204E+05 ,1.205E+05 ,1.16E+05  ,2.222E+05 ,2.031E+03
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,33     ,257    ,8192     ,80000  ,8192        ,6.216E+04 ,6.178E+04 ,6.215E+04 ,6.06E+04  ,1.663E+05 ,1.264E+03
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,0      ,31     ,16384    ,40000  ,16384       ,1.994E+05 ,1.980E+05 ,1.993E+05 ,1.91E+05  ,2.998E+05 ,4.607E+03
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,0      ,32     ,32768    ,20000  ,32768       ,4.586E+05 ,4.570E+05 ,4.585E+05 ,4.46E+05  ,1.530E+06 ,1.249E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,0      ,64     ,32768    ,20000  ,32768       ,4.636E+05 ,4.622E+05 ,4.635E+05 ,4.46E+05  ,1.547E+06 ,1.324E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,0      ,65     ,32768    ,20000  ,32768       ,4.605E+05 ,4.602E+05 ,4.603E+05 ,4.46E+05  ,1.588E+06 ,1.482E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,0      ,128    ,32768    ,20000  ,32768       ,4.768E+05 ,4.779E+05 ,4.767E+05 ,4.63E+05  ,1.535E+06 ,1.752E+04
