impl name               ,test name       ,size    ,al dst ,al src ,dst > src,trials ,inner trials,mean      ,median    ,geomean   ,min       ,max       ,stdev
memcpy_0_evex_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,0        ,80000  ,8192        ,1.025E+05 ,1.029E+05 ,1.024E+05 ,9.65E+04  ,1.215E+06 ,6.617E+03
memcpy_0_evex_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,1        ,80000  ,8192        ,1.048E+05 ,1.044E+05 ,1.048E+05 ,9.62E+04  ,1.159E+06 ,5.563E+03
memcpy_0_evex_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,2        ,80000  ,8192        ,1.070E+05 ,1.066E+05 ,1.070E+05 ,1.04E+05  ,2.080E+05 ,2.170E+03
memcpy_1_evex_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,0        ,80000  ,8192        ,1.026E+05 ,1.014E+05 ,1.025E+05 ,9.68E+04  ,1.214E+06 ,6.247E+03
memcpy_1_evex_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,1        ,80000  ,8192        ,1.052E+05 ,1.052E+05 ,1.051E+05 ,9.61E+04  ,1.163E+06 ,7.294E+03
memcpy_1_evex_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,2        ,80000  ,8192        ,1.089E+05 ,1.091E+05 ,1.088E+05 ,9.94E+04  ,1.192E+06 ,7.077E+03
memcpy_2_evex_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,0        ,80000  ,8192        ,1.122E+05 ,1.114E+05 ,1.121E+05 ,1.05E+05  ,2.430E+05 ,4.138E+03
memcpy_2_evex_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,1        ,80000  ,8192        ,1.077E+05 ,1.057E+05 ,1.075E+05 ,9.77E+04  ,1.174E+06 ,8.195E+03
memcpy_2_evex_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,2        ,80000  ,8192        ,1.100E+05 ,1.103E+05 ,1.098E+05 ,9.80E+04  ,1.160E+06 ,8.751E+03
memcpy_3_evex_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,0        ,80000  ,8192        ,1.115E+05 ,1.116E+05 ,1.114E+05 ,1.02E+05  ,1.152E+06 ,5.936E+03
memcpy_3_evex_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,1        ,80000  ,8192        ,1.098E+05 ,1.086E+05 ,1.097E+05 ,1.02E+05  ,2.299E+05 ,4.423E+03
memcpy_3_evex_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,2        ,80000  ,8192        ,1.086E+05 ,1.066E+05 ,1.083E+05 ,9.56E+04  ,1.196E+06 ,9.841E+03
memcpy_4_evex_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,0        ,80000  ,8192        ,1.100E+05 ,1.107E+05 ,1.099E+05 ,9.97E+04  ,1.209E+06 ,7.204E+03
memcpy_4_evex_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,1        ,80000  ,8192        ,1.087E+05 ,1.075E+05 ,1.085E+05 ,9.69E+04  ,1.158E+06 ,7.198E+03
