impl name               ,test name       ,size    ,al dst ,al src ,dst > src,trials ,inner trials,mean      ,median    ,geomean   ,min       ,max       ,stdev
memcpy_0_avx_movsb    ,rand SPEC2017   ,1       ,0      ,-1     ,0        ,80000  ,8192        ,1.185E+05 ,1.188E+05 ,1.185E+05 ,1.12E+05  ,4.101E+05 ,2.659E+03
memcpy_0_avx_movsb    ,rand SPEC2017   ,1       ,0      ,-1     ,0        ,10000  ,65536       ,1.069E+06 ,1.076E+06 ,1.069E+06 ,1.02E+06  ,1.381E+06 ,1.686E+04
memcpy_0_avx_movsb    ,rand SPEC2017   ,1       ,0      ,-1     ,1        ,80000  ,8192        ,1.193E+05 ,1.190E+05 ,1.193E+05 ,1.15E+05  ,5.112E+05 ,2.282E+03
memcpy_0_avx_movsb    ,rand SPEC2017   ,1       ,0      ,-1     ,1        ,10000  ,65536       ,1.081E+06 ,1.080E+06 ,1.081E+06 ,1.03E+06  ,1.563E+06 ,9.906E+03
memcpy_0_avx_movsb    ,rand SPEC2017   ,1       ,0      ,-1     ,2        ,80000  ,8192        ,1.236E+05 ,1.233E+05 ,1.236E+05 ,1.19E+05  ,4.164E+05 ,2.671E+03
memcpy_0_avx_movsb    ,rand SPEC2017   ,1       ,0      ,-1     ,2        ,10000  ,65536       ,1.137E+06 ,1.140E+06 ,1.137E+06 ,1.08E+06  ,1.493E+06 ,1.537E+04
memcpy_0_avx_movsb    ,rand SPEC2017   ,2       ,0      ,-1     ,0        ,80000  ,8192        ,1.520E+05 ,1.523E+05 ,1.517E+05 ,1.44E+05  ,1.701E+06 ,1.920E+04
memcpy_0_avx_movsb    ,rand SPEC2017   ,2       ,0      ,-1     ,0        ,10000  ,65536       ,1.350E+06 ,1.342E+06 ,1.350E+06 ,1.30E+06  ,1.708E+06 ,1.868E+04
memcpy_0_avx_movsb    ,rand SPEC2017   ,2       ,0      ,-1     ,1        ,80000  ,8192        ,1.525E+05 ,1.533E+05 ,1.525E+05 ,1.45E+05  ,4.452E+05 ,3.436E+03
memcpy_0_avx_movsb    ,rand SPEC2017   ,2       ,0      ,-1     ,1        ,10000  ,65536       ,1.344E+06 ,1.339E+06 ,1.344E+06 ,1.30E+06  ,1.634E+06 ,1.489E+04
memcpy_0_avx_movsb    ,rand SPEC2017   ,2       ,0      ,-1     ,2        ,80000  ,8192        ,1.543E+05 ,1.551E+05 ,1.542E+05 ,1.46E+05  ,4.475E+05 ,3.666E+03
