impl name               ,test name       ,size    ,al dst ,al src ,dst > src,trials ,inner trials,mean      ,median    ,geomean   ,min       ,max       ,stdev
memcpy_0_evex_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,0        ,80000  ,8192        ,3.787E+04 ,3.512E+04 ,3.690E+04 ,3.07E+04  ,2.228E+05 ,1.165E+04
memcpy_0_evex_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,0        ,10000  ,65536       ,7.081E+05 ,6.627E+05 ,7.023E+05 ,6.46E+05  ,1.534E+06 ,9.972E+04
memcpy_0_evex_movsb   ,rand SPEC2017   ,1       ,257    ,-1     ,0        ,160000 ,4096        ,6.459E+04 ,6.065E+04 ,6.341E+04 ,5.70E+04  ,2.639E+05 ,1.562E+04
memcpy_0_evex_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,1        ,80000  ,8192        ,3.909E+04 ,3.772E+04 ,3.890E+04 ,3.40E+04  ,2.008E+05 ,4.580E+03
memcpy_0_evex_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,1        ,10000  ,65536       ,7.420E+05 ,7.152E+05 ,7.387E+05 ,6.54E+05  ,1.495E+06 ,7.448E+04
memcpy_0_evex_movsb   ,rand SPEC2017   ,1       ,257    ,-1     ,1        ,160000 ,4096        ,6.791E+04 ,6.737E+04 ,6.787E+04 ,6.45E+04  ,1.353E+05 ,2.532E+03
memcpy_0_evex_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,2        ,80000  ,8192        ,4.337E+04 ,4.247E+04 ,4.318E+04 ,3.71E+04  ,1.035E+05 ,4.211E+03
memcpy_0_evex_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,2        ,10000  ,65536       ,7.641E+05 ,7.619E+05 ,7.640E+05 ,7.30E+05  ,8.691E+05 ,1.254E+04
memcpy_0_evex_movsb   ,rand SPEC2017   ,1       ,257    ,-1     ,2        ,160000 ,4096        ,8.465E+04 ,8.480E+04 ,8.460E+04 ,8.11E+04  ,1.503E+05 ,3.099E+03
memcpy_0_evex_movsb   ,rand SPEC2017   ,2       ,0      ,-1     ,0        ,80000  ,8192        ,8.453E+04 ,8.397E+04 ,8.448E+04 ,7.98E+04  ,1.492E+05 ,2.892E+03
memcpy_0_evex_movsb   ,rand SPEC2017   ,2       ,0      ,-1     ,0        ,10000  ,65536       ,9.707E+05 ,9.710E+05 ,9.706E+05 ,9.31E+05  ,1.124E+06 ,1.308E+04
memcpy_0_evex_movsb   ,rand SPEC2017   ,2       ,257    ,-1     ,0        ,80000  ,8192        ,1.880E+05 ,1.870E+05 ,1.880E+05 ,1.77E+05  ,2.835E+05 ,5.683E+03
memcpy_0_evex_movsb   ,rand SPEC2017   ,2       ,0      ,-1     ,1        ,80000  ,8192        ,8.671E+04 ,8.581E+04 ,8.663E+04 ,8.28E+04  ,1.529E+05 ,3.947E+03
