impl name               ,test name       ,size    ,al dst ,al src ,dst > src,trials ,inner trials,mean      ,median    ,geomean   ,min       ,max       ,stdev
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,16     ,256    ,32768    ,20000  ,32768       ,2.322E+05 ,2.250E+05 ,2.314E+05 ,2.11E+05  ,5.220E+05 ,2.188E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,32     ,256    ,16384    ,40000  ,16384       ,7.532E+04 ,7.458E+04 ,7.527E+04 ,7.23E+04  ,1.481E+05 ,3.080E+03
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,33     ,256    ,8192     ,80000  ,8192        ,4.052E+04 ,4.044E+04 ,4.050E+04 ,3.88E+04  ,9.607E+04 ,1.592E+03
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,16     ,257    ,32768    ,20000  ,32768       ,2.345E+05 ,2.324E+05 ,2.344E+05 ,2.21E+05  ,3.434E+05 ,6.994E+03
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,32     ,257    ,16384    ,40000  ,16384       ,7.879E+04 ,7.842E+04 ,7.873E+04 ,7.48E+04  ,1.517E+05 ,3.359E+03
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,33     ,257    ,8192     ,80000  ,8192        ,4.115E+04 ,4.108E+04 ,4.113E+04 ,3.95E+04  ,8.374E+04 ,1.375E+03
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,0      ,31     ,16384    ,40000  ,16384       ,1.275E+05 ,1.250E+05 ,1.272E+05 ,1.20E+05  ,3.768E+05 ,1.010E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,0      ,32     ,32768    ,20000  ,32768       ,3.237E+05 ,3.219E+05 ,3.234E+05 ,3.09E+05  ,6.029E+05 ,1.362E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,0      ,64     ,32768    ,20000  ,32768       ,3.251E+05 ,3.234E+05 ,3.249E+05 ,3.10E+05  ,7.960E+05 ,1.094E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,0      ,65     ,32768    ,20000  ,32768       ,3.255E+05 ,3.236E+05 ,3.254E+05 ,3.10E+05  ,4.249E+05 ,6.510E+03
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,0      ,128    ,32768    ,20000  ,32768       ,3.323E+05 ,3.299E+05 ,3.322E+05 ,3.24E+05  ,3.993E+05 ,6.793E+03
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,0      ,256    ,32768    ,20000  ,32768       ,3.635E+05 ,3.597E+05 ,3.633E+05 ,3.52E+05  ,5.217E+05 ,1.006E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,32     ,-1     ,32768    ,20000  ,32768       ,3.878E+05 ,3.873E+05 ,3.877E+05 ,3.71E+05  ,4.549E+05 ,9.289E+03
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,33     ,-1     ,8192     ,80000  ,8192        ,1.080E+05 ,1.071E+05 ,1.080E+05 ,1.04E+05  ,2.229E+05 ,3.895E+03
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,64     ,-1     ,8192     ,80000  ,8192        ,1.105E+05 ,1.097E+05 ,1.105E+05 ,1.07E+05  ,1.862E+05 ,3.576E+03
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,65     ,-1     ,8192     ,80000  ,8192        ,1.130E+05 ,1.123E+05 ,1.129E+05 ,1.09E+05  ,2.096E+05 ,3.526E+03
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,129    ,-1     ,8192     ,80000  ,8192        ,1.173E+05 ,1.158E+05 ,1.172E+05 ,1.13E+05  ,2.341E+05 ,4.931E+03
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,257    ,-1     ,4096     ,160000 ,4096        ,8.272E+04 ,8.233E+04 ,8.269E+04 ,7.83E+04  ,1.454E+05 ,2.274E+03
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,0      ,-1     ,65536    ,10000  ,65536       ,9.804E+05 ,9.748E+05 ,9.802E+05 ,9.55E+05  ,1.390E+06 ,2.009E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,2       ,0      ,-1     ,65536    ,10000  ,65536       ,8.670E+05 ,8.688E+05 ,8.668E+05 ,8.37E+05  ,1.303E+06 ,2.148E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,4       ,0      ,-1     ,65536    ,10000  ,65536       ,1.098E+06 ,1.091E+06 ,1.098E+06 ,1.06E+06  ,1.307E+06 ,1.693E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,8       ,0      ,-1     ,65536    ,10000  ,65536       ,1.383E+06 ,1.369E+06 ,1.383E+06 ,1.35E+06  ,1.884E+06 ,2.635E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,16      ,0      ,-1     ,65536    ,10000  ,65536       ,2.390E+06 ,2.381E+06 ,2.389E+06 ,2.31E+06  ,3.592E+06 ,4.203E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,32      ,0      ,-1     ,65536    ,10000  ,65536       ,4.456E+06 ,4.459E+06 ,4.456E+06 ,4.32E+06  ,6.465E+06 ,5.890E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,64      ,0      ,-1     ,65536    ,10000  ,65536       ,9.289E+06 ,9.292E+06 ,9.289E+06 ,9.02E+06  ,1.216E+07 ,8.304E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,128     ,0      ,-1     ,65536    ,10000  ,65536       ,1.939E+07 ,1.939E+07 ,1.939E+07 ,1.89E+07  ,2.525E+07 ,1.621E+05
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,256     ,0      ,-1     ,65536    ,10000  ,65536       ,4.062E+07 ,4.059E+07 ,4.061E+07 ,3.99E+07  ,4.912E+07 ,4.439E+05
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,1       ,16     ,256    ,32768    ,20000  ,32768       ,2.470E+05 ,2.444E+05 ,2.469E+05 ,2.35E+05  ,4.000E+05 ,9.565E+03
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,1       ,32     ,256    ,16384    ,40000  ,16384       ,8.230E+04 ,8.218E+04 ,8.221E+04 ,7.85E+04  ,1.501E+05 ,4.068E+03
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,1       ,33     ,256    ,8192     ,80000  ,8192        ,4.381E+04 ,4.401E+04 ,4.378E+04 ,4.22E+04  ,7.863E+04 ,1.984E+03
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,1       ,16     ,257    ,32768    ,20000  ,32768       ,2.459E+05 ,2.444E+05 ,2.458E+05 ,2.38E+05  ,2.854E+05 ,6.025E+03
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,1       ,32     ,257    ,16384    ,40000  ,16384       ,8.239E+04 ,8.245E+04 ,8.234E+04 ,7.87E+04  ,1.182E+05 ,3.170E+03
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,1       ,33     ,257    ,8192     ,80000  ,8192        ,4.397E+04 ,4.419E+04 ,4.393E+04 ,4.23E+04  ,9.971E+04 ,2.145E+03
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,1       ,0      ,31     ,16384    ,40000  ,16384       ,1.471E+05 ,1.460E+05 ,1.471E+05 ,1.39E+05  ,2.047E+05 ,4.224E+03
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,1       ,0      ,32     ,32768    ,20000  ,32768       ,3.331E+05 ,3.332E+05 ,3.330E+05 ,3.21E+05  ,3.894E+05 ,7.487E+03
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,1       ,0      ,64     ,32768    ,20000  ,32768       ,3.321E+05 ,3.324E+05 ,3.321E+05 ,3.20E+05  ,4.068E+05 ,7.425E+03
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,1       ,0      ,65     ,32768    ,20000  ,32768       ,3.315E+05 ,3.321E+05 ,3.314E+05 ,3.20E+05  ,3.797E+05 ,7.350E+03
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,1       ,0      ,128    ,32768    ,20000  ,32768       ,3.412E+05 ,3.412E+05 ,3.411E+05 ,3.28E+05  ,4.923E+05 ,9.173E+03
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,1       ,0      ,256    ,32768    ,20000  ,32768       ,3.752E+05 ,3.750E+05 ,3.751E+05 ,3.59E+05  ,4.750E+05 ,5.457E+03
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,1       ,32     ,-1     ,32768    ,20000  ,32768       ,3.967E+05 ,3.959E+05 ,3.967E+05 ,3.75E+05  ,6.613E+05 ,7.865E+03
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,1       ,33     ,-1     ,8192     ,80000  ,8192        ,1.104E+05 ,1.094E+05 ,1.103E+05 ,1.06E+05  ,2.321E+05 ,4.256E+03
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,1       ,64     ,-1     ,8192     ,80000  ,8192        ,1.114E+05 ,1.106E+05 ,1.113E+05 ,1.07E+05  ,2.595E+05 ,4.094E+03
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,1       ,65     ,-1     ,8192     ,80000  ,8192        ,1.140E+05 ,1.131E+05 ,1.140E+05 ,1.10E+05  ,2.687E+05 ,4.208E+03
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,1       ,129    ,-1     ,8192     ,80000  ,8192        ,1.173E+05 ,1.170E+05 ,1.172E+05 ,1.12E+05  ,2.631E+05 ,4.707E+03
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,1       ,257    ,-1     ,4096     ,160000 ,4096        ,8.207E+04 ,8.164E+04 ,8.204E+04 ,7.81E+04  ,1.809E+05 ,2.431E+03
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,1       ,0      ,-1     ,65536    ,10000  ,65536       ,9.858E+05 ,9.901E+05 ,9.857E+05 ,9.56E+05  ,1.292E+06 ,1.609E+04
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,2       ,0      ,-1     ,65536    ,10000  ,65536       ,8.707E+05 ,8.723E+05 ,8.705E+05 ,8.39E+05  ,1.232E+06 ,1.842E+04
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,4       ,0      ,-1     ,65536    ,10000  ,65536       ,1.110E+06 ,1.105E+06 ,1.109E+06 ,1.08E+06  ,1.463E+06 ,2.004E+04
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,8       ,0      ,-1     ,65536    ,10000  ,65536       ,1.385E+06 ,1.372E+06 ,1.385E+06 ,1.36E+06  ,1.838E+06 ,2.675E+04
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,16      ,0      ,-1     ,65536    ,10000  ,65536       ,2.397E+06 ,2.393E+06 ,2.397E+06 ,2.32E+06  ,3.191E+06 ,3.027E+04
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,32      ,0      ,-1     ,65536    ,10000  ,65536       ,4.461E+06 ,4.462E+06 ,4.460E+06 ,4.31E+06  ,6.696E+06 ,7.740E+04
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,64      ,0      ,-1     ,65536    ,10000  ,65536       ,9.297E+06 ,9.299E+06 ,9.297E+06 ,9.05E+06  ,1.104E+07 ,8.090E+04
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,128     ,0      ,-1     ,65536    ,10000  ,65536       ,1.898E+07 ,1.897E+07 ,1.898E+07 ,1.86E+07  ,2.636E+07 ,2.854E+05
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,256     ,0      ,-1     ,65536    ,10000  ,65536       ,4.034E+07 ,4.033E+07 ,4.034E+07 ,3.98E+07  ,4.756E+07 ,3.145E+05
memcpy_dev_v32_movsb_v21,rand SPEC2017   ,1       ,16     ,256    ,32768    ,20000  ,32768       ,2.440E+05 ,2.416E+05 ,2.439E+05 ,2.32E+05  ,3.672E+05 ,7.621E+03
memcpy_dev_v32_movsb_v21,rand SPEC2017   ,1       ,32     ,256    ,16384    ,40000  ,16384       ,8.400E+04 ,8.393E+04 ,8.395E+04 ,7.88E+04  ,1.355E+05 ,3.199E+03
memcpy_dev_v32_movsb_v21,rand SPEC2017   ,1       ,33     ,256    ,8192     ,80000  ,8192        ,4.353E+04 ,4.377E+04 ,4.349E+04 ,4.21E+04  ,9.574E+04 ,2.044E+03
