impl name               ,test name       ,size    ,al dst ,al src ,dst > src,trials ,inner trials,mean      ,median    ,geomean   ,min       ,max       ,stdev
memcpy_dev_v32_movsb_avx2_v19,rand SPEC2017   ,1       ,16     ,256    ,32768    ,20000  ,32768       ,3.347E+05 ,3.320E+05 ,3.345E+05 ,3.14E+05  ,6.348E+05 ,1.040E+04
memcpy_dev_v32_movsb_avx2_v19,rand SPEC2017   ,1       ,32     ,256    ,16384    ,40000  ,16384       ,1.341E+05 ,1.343E+05 ,1.340E+05 ,1.27E+05  ,4.308E+05 ,3.228E+03
memcpy_dev_v32_movsb_avx2_v19,rand SPEC2017   ,1       ,33     ,256    ,8192     ,80000  ,8192        ,7.789E+04 ,7.808E+04 ,7.788E+04 ,7.38E+04  ,3.691E+05 ,1.820E+03
memcpy_dev_v32_movsb_avx2_v19,rand SPEC2017   ,1       ,16     ,257    ,32768    ,20000  ,32768       ,3.619E+05 ,3.623E+05 ,3.618E+05 ,3.43E+05  ,6.527E+05 ,7.089E+03
memcpy_dev_v32_movsb_avx2_v19,rand SPEC2017   ,1       ,32     ,257    ,16384    ,40000  ,16384       ,1.424E+05 ,1.416E+05 ,1.424E+05 ,1.34E+05  ,4.316E+05 ,2.833E+03
memcpy_dev_v32_movsb_avx2_v19,rand SPEC2017   ,1       ,33     ,257    ,8192     ,80000  ,8192        ,8.093E+04 ,8.032E+04 ,8.091E+04 ,7.68E+04  ,3.752E+05 ,2.153E+03
memcpy_dev_v32_movsb_avx2_v19,rand SPEC2017   ,1       ,0      ,31     ,16384    ,40000  ,16384       ,1.906E+05 ,1.894E+05 ,1.905E+05 ,1.82E+05  ,4.796E+05 ,4.558E+03
memcpy_dev_v32_movsb_avx2_v19,rand SPEC2017   ,1       ,0      ,32     ,32768    ,20000  ,32768       ,4.683E+05 ,4.684E+05 ,4.683E+05 ,4.45E+05  ,7.633E+05 ,4.678E+03
memcpy_dev_v32_movsb_avx2_v19,rand SPEC2017   ,1       ,0      ,64     ,32768    ,20000  ,32768       ,4.677E+05 ,4.672E+05 ,4.676E+05 ,4.45E+05  ,7.621E+05 ,6.460E+03
memcpy_dev_v32_movsb_avx2_v19,rand SPEC2017   ,1       ,0      ,65     ,32768    ,20000  ,32768       ,4.694E+05 ,4.679E+05 ,4.693E+05 ,4.54E+05  ,7.566E+05 ,5.598E+03
memcpy_dev_v32_movsb_avx2_v19,rand SPEC2017   ,1       ,0      ,128    ,32768    ,20000  ,32768       ,4.831E+05 ,4.806E+05 ,4.831E+05 ,4.65E+05  ,7.841E+05 ,6.824E+03
memcpy_dev_v32_movsb_avx2_v19,rand SPEC2017   ,1       ,0      ,256    ,32768    ,20000  ,32768       ,5.308E+05 ,5.273E+05 ,5.308E+05 ,5.09E+05  ,8.198E+05 ,1.029E+04
memcpy_dev_v32_movsb_avx2_v19,rand SPEC2017   ,1       ,32     ,-1     ,32768    ,20000  ,32768       ,5.902E+05 ,5.924E+05 ,5.901E+05 ,5.59E+05  ,8.876E+05 ,1.059E+04
memcpy_dev_v32_movsb_avx2_v19,rand SPEC2017   ,1       ,33     ,-1     ,8192     ,80000  ,8192        ,2.067E+05 ,2.058E+05 ,2.066E+05 ,1.98E+05  ,5.024E+05 ,4.463E+03
memcpy_dev_v32_movsb_avx2_v19,rand SPEC2017   ,1       ,64     ,-1     ,8192     ,80000  ,8192        ,2.074E+05 ,2.058E+05 ,2.073E+05 ,1.97E+05  ,5.001E+05 ,4.929E+03
memcpy_dev_v32_movsb_avx2_v19,rand SPEC2017   ,1       ,65     ,-1     ,8192     ,80000  ,8192        ,2.070E+05 ,2.058E+05 ,2.070E+05 ,1.97E+05  ,5.149E+05 ,4.222E+03
memcpy_dev_v32_movsb_avx2_v19,rand SPEC2017   ,1       ,129    ,-1     ,8192     ,80000  ,8192        ,2.155E+05 ,2.142E+05 ,2.155E+05 ,2.06E+05  ,5.124E+05 ,4.235E+03
memcpy_dev_v32_movsb_avx2_v19,rand SPEC2017   ,1       ,257    ,-1     ,4096     ,160000 ,4096        ,1.291E+05 ,1.291E+05 ,1.291E+05 ,1.21E+05  ,4.253E+05 ,1.771E+03
memcpy_dev_v32_movsb_avx2_v19,rand SPEC2017   ,1       ,0      ,-1     ,65536    ,10000  ,65536       ,1.369E+06 ,1.372E+06 ,1.369E+06 ,1.30E+06  ,1.665E+06 ,1.635E+04
memcpy_dev_v32_movsb_avx2_v19,rand SPEC2017   ,2       ,0      ,-1     ,65536    ,10000  ,65536       ,1.270E+06 ,1.268E+06 ,1.270E+06 ,1.21E+06  ,1.647E+06 ,1.034E+04
memcpy_dev_v32_movsb_avx2_v19,rand SPEC2017   ,4       ,0      ,-1     ,65536    ,10000  ,65536       ,1.660E+06 ,1.660E+06 ,1.660E+06 ,1.61E+06  ,2.000E+06 ,9.740E+03
memcpy_dev_v32_movsb_avx2_v19,rand SPEC2017   ,8       ,0      ,-1     ,65536    ,10000  ,65536       ,2.270E+06 ,2.259E+06 ,2.270E+06 ,2.19E+06  ,2.854E+06 ,2.676E+04
memcpy_dev_v32_movsb_avx2_v19,rand SPEC2017   ,16      ,0      ,-1     ,65536    ,10000  ,65536       ,4.164E+06 ,4.163E+06 ,4.164E+06 ,4.15E+06  ,4.468E+06 ,1.163E+04
memcpy_dev_v32_movsb_avx2_v19,rand SPEC2017   ,32      ,0      ,-1     ,65536    ,10000  ,65536       ,7.650E+06 ,7.652E+06 ,7.650E+06 ,7.42E+06  ,8.486E+06 ,3.762E+04
memcpy_dev_v32_movsb_avx2_v19,rand SPEC2017   ,64      ,0      ,-1     ,65536    ,10000  ,65536       ,1.603E+07 ,1.606E+07 ,1.603E+07 ,1.56E+07  ,1.704E+07 ,1.080E+05
memcpy_dev_v32_movsb_avx2_v19,rand SPEC2017   ,128     ,0      ,-1     ,65536    ,10000  ,65536       ,3.424E+07 ,3.422E+07 ,3.424E+07 ,3.32E+07  ,5.413E+07 ,2.985E+05
memcpy_dev_v32_movsb_avx2_v19,rand SPEC2017   ,256     ,0      ,-1     ,65536    ,10000  ,65536       ,7.512E+07 ,7.470E+07 ,7.512E+07 ,7.45E+07  ,1.010E+08 ,8.583E+05
memcpy_dev_v32_movsb_avx2_v20,rand SPEC2017   ,1       ,16     ,256    ,32768    ,20000  ,32768       ,3.963E+05 ,3.951E+05 ,3.961E+05 ,3.84E+05  ,6.968E+05 ,1.379E+04
memcpy_dev_v32_movsb_avx2_v20,rand SPEC2017   ,1       ,32     ,256    ,16384    ,40000  ,16384       ,1.496E+05 ,1.492E+05 ,1.496E+05 ,1.44E+05  ,4.459E+05 ,2.730E+03
memcpy_dev_v32_movsb_avx2_v20,rand SPEC2017   ,1       ,33     ,256    ,8192     ,80000  ,8192        ,8.310E+04 ,8.255E+04 ,8.308E+04 ,7.73E+04  ,3.737E+05 ,1.791E+03
memcpy_dev_v32_movsb_avx2_v20,rand SPEC2017   ,1       ,16     ,257    ,32768    ,20000  ,32768       ,3.847E+05 ,3.844E+05 ,3.847E+05 ,3.82E+05  ,6.797E+05 ,3.361E+03
memcpy_dev_v32_movsb_avx2_v20,rand SPEC2017   ,1       ,32     ,257    ,16384    ,40000  ,16384       ,1.497E+05 ,1.495E+05 ,1.497E+05 ,1.41E+05  ,4.444E+05 ,2.367E+03
memcpy_dev_v32_movsb_avx2_v20,rand SPEC2017   ,1       ,33     ,257    ,8192     ,80000  ,8192        ,8.202E+04 ,8.120E+04 ,8.200E+04 ,7.79E+04  ,3.794E+05 ,2.315E+03
memcpy_dev_v32_movsb_avx2_v20,rand SPEC2017   ,1       ,0      ,31     ,16384    ,40000  ,16384       ,2.061E+05 ,2.044E+05 ,2.061E+05 ,1.97E+05  ,5.037E+05 ,4.111E+03
memcpy_dev_v32_movsb_avx2_v20,rand SPEC2017   ,1       ,0      ,32     ,32768    ,20000  ,32768       ,4.931E+05 ,4.957E+05 ,4.930E+05 ,4.68E+05  ,7.846E+05 ,7.573E+03
memcpy_dev_v32_movsb_avx2_v20,rand SPEC2017   ,1       ,0      ,64     ,32768    ,20000  ,32768       ,4.942E+05 ,4.942E+05 ,4.934E+05 ,4.60E+05  ,3.256E+06 ,4.483E+04
memcpy_dev_v32_movsb_avx2_v20,rand SPEC2017   ,1       ,0      ,65     ,32768    ,20000  ,32768       ,4.935E+05 ,4.954E+05 ,4.935E+05 ,4.66E+05  ,7.966E+05 ,7.754E+03
memcpy_dev_v32_movsb_avx2_v20,rand SPEC2017   ,1       ,0      ,128    ,32768    ,20000  ,32768       ,5.006E+05 ,5.044E+05 ,5.006E+05 ,4.78E+05  ,8.029E+05 ,8.401E+03
memcpy_dev_v32_movsb_avx2_v20,rand SPEC2017   ,1       ,0      ,256    ,32768    ,20000  ,32768       ,5.384E+05 ,5.405E+05 ,5.384E+05 ,5.10E+05  ,8.405E+05 ,1.055E+04
memcpy_dev_v32_movsb_avx2_v20,rand SPEC2017   ,1       ,32     ,-1     ,32768    ,20000  ,32768       ,5.626E+05 ,5.616E+05 ,5.626E+05 ,5.56E+05  ,8.592E+05 ,8.812E+03
memcpy_dev_v32_movsb_avx2_v20,rand SPEC2017   ,1       ,33     ,-1     ,8192     ,80000  ,8192        ,1.912E+05 ,1.908E+05 ,1.912E+05 ,1.84E+05  ,4.879E+05 ,3.676E+03
memcpy_dev_v32_movsb_avx2_v20,rand SPEC2017   ,1       ,64     ,-1     ,8192     ,80000  ,8192        ,1.913E+05 ,1.906E+05 ,1.913E+05 ,1.84E+05  ,4.849E+05 ,3.930E+03
memcpy_dev_v32_movsb_avx2_v20,rand SPEC2017   ,1       ,65     ,-1     ,8192     ,80000  ,8192        ,1.936E+05 ,1.930E+05 ,1.936E+05 ,1.86E+05  ,4.817E+05 ,3.174E+03
memcpy_dev_v32_movsb_avx2_v20,rand SPEC2017   ,1       ,129    ,-1     ,8192     ,80000  ,8192        ,1.991E+05 ,1.987E+05 ,1.990E+05 ,1.92E+05  ,4.889E+05 ,2.837E+03
memcpy_dev_v32_movsb_avx2_v20,rand SPEC2017   ,1       ,257    ,-1     ,4096     ,160000 ,4096        ,1.198E+05 ,1.193E+05 ,1.198E+05 ,1.15E+05  ,4.115E+05 ,2.444E+03
memcpy_dev_v32_movsb_avx2_v20,rand SPEC2017   ,1       ,0      ,-1     ,65536    ,10000  ,65536       ,1.330E+06 ,1.320E+06 ,1.330E+06 ,1.28E+06  ,1.644E+06 ,1.931E+04
memcpy_dev_v32_movsb_avx2_v20,rand SPEC2017   ,2       ,0      ,-1     ,65536    ,10000  ,65536       ,1.221E+06 ,1.209E+06 ,1.221E+06 ,1.17E+06  ,1.543E+06 ,1.914E+04
memcpy_dev_v32_movsb_avx2_v20,rand SPEC2017   ,4       ,0      ,-1     ,65536    ,10000  ,65536       ,1.583E+06 ,1.588E+06 ,1.583E+06 ,1.50E+06  ,2.288E+06 ,2.431E+04
memcpy_dev_v32_movsb_avx2_v20,rand SPEC2017   ,8       ,0      ,-1     ,65536    ,10000  ,65536       ,2.189E+06 ,2.190E+06 ,2.189E+06 ,2.08E+06  ,3.259E+06 ,3.049E+04
memcpy_dev_v32_movsb_avx2_v20,rand SPEC2017   ,16      ,0      ,-1     ,65536    ,10000  ,65536       ,3.977E+06 ,3.954E+06 ,3.976E+06 ,3.85E+06  ,5.973E+06 ,5.752E+04
memcpy_dev_v32_movsb_avx2_v20,rand SPEC2017   ,32      ,0      ,-1     ,65536    ,10000  ,65536       ,7.459E+06 ,7.482E+06 ,7.459E+06 ,7.23E+06  ,1.072E+07 ,9.521E+04
memcpy_dev_v32_movsb_avx2_v20,rand SPEC2017   ,64      ,0      ,-1     ,65536    ,10000  ,65536       ,1.543E+07 ,1.556E+07 ,1.543E+07 ,1.51E+07  ,2.071E+07 ,2.176E+05
memcpy_dev_v32_movsb_avx2_v20,rand SPEC2017   ,128     ,0      ,-1     ,65536    ,10000  ,65536       ,3.322E+07 ,3.317E+07 ,3.322E+07 ,3.27E+07  ,5.345E+07 ,4.912E+05
memcpy_dev_v32_movsb_avx2_v20,rand SPEC2017   ,256     ,0      ,-1     ,65536    ,10000  ,65536       ,7.253E+07 ,7.281E+07 ,7.253E+07 ,7.11E+07  ,9.751E+07 ,8.420E+05
memcpy_dev_v32_movsb_avx2_v21,rand SPEC2017   ,1       ,16     ,256    ,32768    ,20000  ,32768       ,4.070E+05 ,4.058E+05 ,4.070E+05 ,3.82E+05  ,6.983E+05 ,5.129E+03
memcpy_dev_v32_movsb_avx2_v21,rand SPEC2017   ,1       ,32     ,256    ,16384    ,40000  ,16384       ,1.586E+05 ,1.577E+05 ,1.586E+05 ,1.52E+05  ,4.584E+05 ,3.247E+03
memcpy_dev_v32_movsb_avx2_v21,rand SPEC2017   ,1       ,33     ,256    ,8192     ,80000  ,8192        ,8.706E+04 ,8.701E+04 ,8.705E+04 ,8.64E+04  ,3.757E+05 ,1.545E+03
memcpy_dev_v32_movsb_avx2_v21,rand SPEC2017   ,1       ,16     ,257    ,32768    ,20000  ,32768       ,4.001E+05 ,3.983E+05 ,4.000E+05 ,3.86E+05  ,7.022E+05 ,5.417E+03
memcpy_dev_v32_movsb_avx2_v21,rand SPEC2017   ,1       ,32     ,257    ,16384    ,40000  ,16384       ,1.569E+05 ,1.567E+05 ,1.569E+05 ,1.55E+05  ,4.538E+05 ,2.272E+03
