impl name               ,test name       ,size    ,al dst ,al src ,dst > src,trials ,inner trials,mean      ,median    ,geomean   ,min       ,max       ,stdev
memcpy_0_avx2_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,0        ,10000  ,65536       ,1.088E+06 ,1.088E+06 ,1.088E+06 ,1.08E+06  ,1.456E+06 ,1.156E+04
memcpy_0_avx2_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,0        ,80000  ,8192        ,1.246E+05 ,1.242E+05 ,1.245E+05 ,1.21E+05  ,4.157E+05 ,5.214E+03
memcpy_0_avx2_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,1        ,10000  ,65536       ,1.107E+06 ,1.107E+06 ,1.107E+06 ,1.07E+06  ,1.678E+06 ,2.420E+04
memcpy_0_avx2_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,1        ,80000  ,8192        ,1.308E+05 ,1.307E+05 ,1.308E+05 ,1.23E+05  ,4.227E+05 ,4.031E+03
memcpy_0_avx2_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,2        ,10000  ,65536       ,1.179E+06 ,1.179E+06 ,1.178E+06 ,1.12E+06  ,1.637E+06 ,2.768E+04
memcpy_0_avx2_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,2        ,80000  ,8192        ,1.348E+05 ,1.339E+05 ,1.347E+05 ,1.28E+05  ,4.316E+05 ,4.302E+03
memcpy_1_avx2_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,0        ,10000  ,65536       ,1.189E+06 ,1.190E+06 ,1.188E+06 ,1.12E+06  ,4.732E+06 ,8.753E+04
memcpy_1_avx2_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,0        ,80000  ,8192        ,1.366E+05 ,1.363E+05 ,1.366E+05 ,1.31E+05  ,4.293E+05 ,3.152E+03
memcpy_1_avx2_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,1        ,10000  ,65536       ,1.200E+06 ,1.195E+06 ,1.200E+06 ,1.16E+06  ,1.486E+06 ,1.449E+04
memcpy_1_avx2_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,1        ,80000  ,8192        ,1.385E+05 ,1.390E+05 ,1.385E+05 ,1.31E+05  ,4.372E+05 ,4.209E+03
memcpy_1_avx2_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,2        ,10000  ,65536       ,1.235E+06 ,1.224E+06 ,1.235E+06 ,1.19E+06  ,1.539E+06 ,1.911E+04
memcpy_1_avx2_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,2        ,80000  ,8192        ,1.393E+05 ,1.392E+05 ,1.392E+05 ,1.31E+05  ,4.312E+05 ,2.617E+03
memcpy_2_avx2_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,0        ,10000  ,65536       ,1.279E+06 ,1.285E+06 ,1.279E+06 ,1.22E+06  ,1.745E+06 ,2.071E+04
memcpy_2_avx2_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,0        ,80000  ,8192        ,1.450E+05 ,1.449E+05 ,1.450E+05 ,1.42E+05  ,4.376E+05 ,1.978E+03
memcpy_2_avx2_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,1        ,10000  ,65536       ,1.283E+06 ,1.283E+06 ,1.283E+06 ,1.22E+06  ,1.573E+06 ,8.372E+03
memcpy_2_avx2_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,1        ,80000  ,8192        ,1.459E+05 ,1.449E+05 ,1.459E+05 ,1.39E+05  ,4.390E+05 ,3.284E+03
memcpy_2_avx2_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,2        ,10000  ,65536       ,1.307E+06 ,1.307E+06 ,1.307E+06 ,1.27E+06  ,1.602E+06 ,7.237E+03
memcpy_2_avx2_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,2        ,80000  ,8192        ,1.463E+05 ,1.468E+05 ,1.463E+05 ,1.39E+05  ,4.391E+05 ,3.401E+03
memcpy_3_avx2_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,0        ,10000  ,65536       ,1.239E+06 ,1.229E+06 ,1.239E+06 ,1.19E+06  ,1.535E+06 ,1.789E+04
