impl name               ,test name       ,size    ,al dst ,al src ,dst > src,trials ,inner trials,mean      ,median    ,geomean   ,min       ,max       ,stdev
memcpy_0_evex_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,0        ,10000  ,65536       ,1.315E+06 ,1.315E+06 ,1.314E+06 ,1.29E+06  ,2.528E+06 ,3.121E+04
memcpy_0_evex_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,0        ,80000  ,8192        ,1.007E+05 ,1.003E+05 ,1.007E+05 ,9.80E+04  ,2.158E+05 ,2.814E+03
memcpy_0_evex_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,1        ,10000  ,65536       ,1.315E+06 ,1.319E+06 ,1.315E+06 ,1.29E+06  ,2.519E+06 ,2.864E+04
memcpy_0_evex_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,1        ,80000  ,8192        ,1.013E+05 ,1.007E+05 ,1.013E+05 ,9.61E+04  ,2.210E+05 ,3.657E+03
memcpy_0_evex_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,2        ,10000  ,65536       ,1.371E+06 ,1.381E+06 ,1.371E+06 ,1.32E+06  ,2.432E+06 ,3.204E+04
memcpy_0_evex_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,2        ,80000  ,8192        ,1.110E+05 ,1.107E+05 ,1.109E+05 ,1.06E+05  ,2.294E+05 ,2.505E+03
memcpy_1_evex_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,0        ,10000  ,65536       ,1.382E+06 ,1.380E+06 ,1.382E+06 ,1.34E+06  ,2.443E+06 ,2.572E+04
memcpy_1_evex_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,0        ,80000  ,8192        ,1.093E+05 ,1.091E+05 ,1.092E+05 ,1.05E+05  ,1.163E+06 ,5.564E+03
memcpy_1_evex_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,1        ,10000  ,65536       ,1.396E+06 ,1.393E+06 ,1.396E+06 ,1.35E+06  ,2.508E+06 ,2.871E+04
memcpy_1_evex_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,1        ,80000  ,8192        ,1.012E+05 ,9.987E+04 ,1.011E+05 ,9.40E+04  ,1.172E+06 ,6.969E+03
memcpy_1_evex_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,2        ,10000  ,65536       ,1.412E+06 ,1.415E+06 ,1.412E+06 ,1.34E+06  ,2.549E+06 ,2.208E+04
memcpy_1_evex_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,2        ,80000  ,8192        ,1.065E+05 ,1.056E+05 ,1.064E+05 ,9.90E+04  ,1.208E+06 ,6.324E+03
memcpy_2_evex_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,0        ,10000  ,65536       ,1.384E+06 ,1.388E+06 ,1.384E+06 ,1.33E+06  ,2.455E+06 ,2.691E+04
memcpy_2_evex_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,0        ,80000  ,8192        ,1.063E+05 ,1.047E+05 ,1.062E+05 ,9.90E+04  ,1.061E+06 ,7.121E+03
memcpy_2_evex_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,1        ,10000  ,65536       ,1.379E+06 ,1.385E+06 ,1.379E+06 ,1.33E+06  ,2.498E+06 ,2.487E+04
memcpy_2_evex_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,1        ,80000  ,8192        ,1.042E+05 ,1.028E+05 ,1.041E+05 ,9.71E+04  ,1.049E+06 ,7.224E+03
memcpy_2_evex_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,2        ,10000  ,65536       ,1.412E+06 ,1.419E+06 ,1.412E+06 ,1.36E+06  ,2.464E+06 ,2.546E+04
memcpy_2_evex_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,2        ,80000  ,8192        ,1.072E+05 ,1.062E+05 ,1.071E+05 ,9.83E+04  ,1.213E+06 ,7.980E+03
memcpy_3_evex_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,0        ,10000  ,65536       ,1.372E+06 ,1.368E+06 ,1.372E+06 ,1.31E+06  ,2.481E+06 ,3.999E+04
memcpy_3_evex_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,0        ,80000  ,8192        ,1.032E+05 ,1.027E+05 ,1.031E+05 ,9.45E+04  ,1.229E+06 ,7.548E+03
memcpy_3_evex_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,1        ,10000  ,65536       ,1.370E+06 ,1.369E+06 ,1.370E+06 ,1.32E+06  ,2.496E+06 ,2.522E+04
memcpy_3_evex_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,1        ,80000  ,8192        ,1.048E+05 ,1.041E+05 ,1.047E+05 ,9.55E+04  ,1.168E+06 ,7.883E+03
memcpy_3_evex_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,2        ,10000  ,65536       ,1.410E+06 ,1.411E+06 ,1.409E+06 ,1.35E+06  ,2.488E+06 ,2.481E+04
memcpy_3_evex_movsb   ,rand SPEC2017   ,1       ,0      ,-1     ,2        ,80000  ,8192        ,1.059E+05 ,1.053E+05 ,1.057E+05 ,9.65E+04  ,1.210E+06 ,7.852E+03
